ID,Unnamed: 0,pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
0,3576884,3576885,arp,192.168.100.1,-1,192.168.100.3,-1,9,0.000002,2,0.000004,2,0.000006,85,0.0008359999999999,0.0008359999999999,0.000007,0,Normal,Normal
1,3576885,3576886,tcp,192.168.100.7,139,192.168.100.4,36390,10,0.000008,2,0.000022,2,0.000028,1,0.002751,0.002751,0.000042,0,Normal,Normal
2,3576886,3576887,udp,192.168.100.149,51838,27.124.125.250,123,11,0,26,0.048565,2,0.048565,1,0,0,0.048565,0,Normal,Normal
3,3576887,3576888,arp,192.168.100.4,-1,192.168.100.7,-1,12,0.000022,1,0.000199,2,0.000238,1,0.002751,0.002751,0.000261,0,Normal,Normal
4,3576888,3576889,udp,192.168.100.27,58999,192.168.100.1,53,14,0.08015,2,0.018356,2,0.098505,4,0.001755,0.001755,0.178655,0,Normal,Normal
5,3576889,3576890,arp,192.168.100.1,-1,192.168.100.27,-1,15,0,2,0.000367,2,0.000367,1,0,0,0.000367,0,Normal,Normal
6,3576890,3576891,arp,192.168.100.27,-1,192.168.100.1,-1,16,0.000025,2,0.000097,2,0.000122,4,0.001755,0.001755,0.000146,0,Normal,Normal
7,3576891,3576892,udp,192.168.100.150,58360,192.168.217.2,53,18,0,3,0,4,0,4,0,0.399984,0,0,Normal,Normal
8,3576892,3576893,udp,192.168.100.149,37214,192.168.217.2,53,41,0,26,0,4,0,4,0,0.399824,0,0,Normal,Normal
9,3576893,3576894,arp,192.168.100.150,-1,192.168.100.1,-1,65,0.000014,3,0.000075,2,0.000091,4,0.001736,0.001736,0.000109,0,Normal,Normal
10,3576894,3576895,udp,192.168.100.7,138,192.168.100.255,138,104,0.000016,2,0.000061,4,0.000077,1,0,0.0041189999999999,0.000093,0,Normal,Normal
11,3576895,3576896,udp,192.168.100.150,57950,8.8.8.8,53,107,0,3,0.007523,2,0.007523,2,0,0,0.007523,0,Normal,Normal
12,3576896,3576897,udp,192.168.100.148,36138,192.168.217.2,53,63,0,63,0,4,0,4,0,0.399805,0,0,Normal,Normal
